City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,nome,64.5011,-165.4064,36.16,60,20,18.41,US,1633210824
335,bambous virieux,-20.3428,57.7575,73.22,83,75,13.8,MU,1633210825
336,sur,22.5667,59.5289,85.75,60,100,18.19,OM,1633210825
337,tura,25.5198,90.2201,72.95,97,92,2.71,IN,1633210825
338,sao miguel do araguaia,-13.275,-50.1628,85.73,45,27,4.97,BR,1633210825
339,corbelia,-24.7989,-53.3067,67.78,95,99,7.72,BR,1633210825
340,mahibadhoo,3.7833,72.9667,81.84,77,93,13.67,MV,1633210825
341,fukue,32.6881,128.8419,75.36,71,0,9.64,JP,1633210825
342,requena,39.4883,-1.1004,65.14,84,92,1.43,ES,1633210825
343,shahr-e babak,30.1165,55.1186,67.84,24,99,9.66,IR,1633210825
344,mortka,59.3322,66.0214,32.99,79,85,7.65,RU,1633210826
345,hokitika,-42.7167,170.9667,53.73,62,100,2.66,NZ,1633210826
346,tuatapere,-46.1333,167.6833,51.82,72,100,2.91,NZ,1633210826
347,bumba,2.1833,22.4667,68.54,96,100,2.51,CD,1633210826
348,berlevag,70.8578,29.0864,49.77,85,91,24.72,NO,1633210826
349,okha,53.5739,142.9478,44.62,66,35,7.99,RU,1633210826
350,mar del plata,-38.0023,-57.5575,58.12,65,90,4.0,AR,1633210763
351,turukhansk,65.8167,87.9833,31.15,92,100,2.59,RU,1633210826
352,airai,-8.9266,125.4092,60.82,87,51,1.25,TL,1633210827
353,aswan,24.0934,32.907,81.7,24,0,11.5,EG,1633210652
354,garissa,-0.4536,39.6401,75.54,75,51,17.2,KE,1633210827
355,prince george,53.9166,-122.753,56.64,38,1,5.99,CA,1633210827
356,zhuzhou,27.8333,113.15,82.53,64,11,5.77,CN,1633210827
357,boundiali,9.5217,-6.4869,70.14,96,58,0.67,CI,1633210827
358,bhinmal,25.0,72.25,80.8,71,8,6.64,IN,1633210827
